Test Name,Iterations,Working Set Size Per Thread (KB),Total Number of Threads,Number of Load Generating Threads,NUMA Memory Node,NUMA CPU Node,Load Access Pattern,Load Read/Write Mix,Load Chunk Size (bits),Load Stride Size (chunks),Mean Load Throughput,Min Load Throughput,25th Percentile Load Throughput,Median Load Throughput,75th Percentile Load Throughput,95th Percentile Load Throughput,99th Percentile Load Throughput,Max Load Throughput,Mode Load Throughput,Throughput Units,Mean Latency,Min Latency,25th Percentile Latency,Median Latency,75th Percentile Latency,95th Percentile Latency,99th Percentile Latency,Max Latency,Mode Latency,Latency Units,NAME? Mean Power (W),NAME? Peak Power (W),Extension Info,Notes,
Test #1L (Latency),1,1024,1,0,0,0,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,MB/s,12.4086,12.4086,12.4086,12.4086,12.4086,12.4086,12.4086,12.4086,12.4086,ns/access,0,0,N/A,,
Test #1L (Latency),1,1048576,1,0,0,0,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,MB/s,41075,41075,41075,41075,41075,41075,41075,41075,41075,ns/access,0,0,N/A,,
Test #1L (Latency),1,128,1,0,0,0,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,MB/s,3.23734,3.23734,3.23734,3.23734,3.23734,3.23734,3.23734,3.23734,3.23734,ns/access,0,0,N/A,,
Test #1L (Latency),1,131072,1,0,0,0,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,MB/s,99.2631,99.2631,99.2631,99.2631,99.2631,99.2631,99.2631,99.2631,99.2631,ns/access,0,0,N/A,,
Test #1L (Latency),1,16384,1,0,0,0,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,MB/s,73.9131,73.9131,73.9131,73.9131,73.9131,73.9131,73.9131,73.9131,73.9131,ns/access,0,0,N/A,,
Test #1L (Latency),1,16,1,0,0,0,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,MB/s,1.31552,1.31552,1.31552,1.31552,1.31552,1.31552,1.31552,1.31552,1.31552,ns/access,0,0,N/A,,
Test #1L (Latency),1,2048,1,0,0,0,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,MB/s,14.8825,14.8825,14.8825,14.8825,14.8825,14.8825,14.8825,14.8825,14.8825,ns/access,0,0,N/A,,
Test #1L (Latency),1,256,1,0,0,0,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,MB/s,4.62449,4.62449,4.62449,4.62449,4.62449,4.62449,4.62449,4.62449,4.62449,ns/access,0,0,N/A,,
Test #1L (Latency),1,262144,1,0,0,0,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,MB/s,104.547,104.547,104.547,104.547,104.547,104.547,104.547,104.547,104.547,ns/access,0,0,N/A,,
Test #1L (Latency),1,32768,1,0,0,0,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,MB/s,89.01,89.01,89.01,89.01,89.01,89.01,89.01,89.01,89.01,ns/access,0,0,N/A,,
Test #1L (Latency),1,32,1,0,0,0,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,MB/s,1.385,1.385,1.385,1.385,1.385,1.385,1.385,1.385,1.385,ns/access,0,0,N/A,,
Test #1L (Latency),1,4096,1,0,0,0,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,MB/s,19.9377,19.9377,19.9377,19.9377,19.9377,19.9377,19.9377,19.9377,19.9377,ns/access,0,0,N/A,,
Test #1L (Latency),1,512,1,0,0,0,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,MB/s,9.37108,9.37108,9.37108,9.37108,9.37108,9.37108,9.37108,9.37108,9.37108,ns/access,0,0,N/A,,
Test #1L (Latency),1,524288,1,0,0,0,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,MB/s,141.697,141.697,141.697,141.697,141.697,141.697,141.697,141.697,141.697,ns/access,0,0,N/A,,
Test #1L (Latency),1,64,1,0,0,0,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,MB/s,1.25706,1.25706,1.25706,1.25706,1.25706,1.25706,1.25706,1.25706,1.25706,ns/access,0,0,N/A,,
Test #1L (Latency),1,65536,1,0,0,0,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,MB/s,83.4379,83.4379,83.4379,83.4379,83.4379,83.4379,83.4379,83.4379,83.4379,ns/access,0,0,N/A,,
Test #1L (Latency),1,8192,1,0,0,0,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,MB/s,56.3942,56.3942,56.3942,56.3942,56.3942,56.3942,56.3942,56.3942,56.3942,ns/access,0,0,N/A,,
Test #1L (Latency),1,8,1,0,0,0,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,MB/s,1.20714,1.20714,1.20714,1.20714,1.20714,1.20714,1.20714,1.20714,1.20714,ns/access,0,0,N/A,,
