Test Name,Iterations,Working Set Size Per Thread (KB),Total Number of Threads,Number of Load Generating Threads,NUMA Memory Node,NUMA CPU Node,Load Access Pattern,Load Read/Write Mix,Load Chunk Size (bits),Load Stride Size (chunks),Mean Load Throughput,Min Load Throughput,25th Percentile Load Throughput,Median Load Throughput,75th Percentile Load Throughput,95th Percentile Load Throughput,99th Percentile Load Throughput,Max Load Throughput,Mode Load Throughput,Throughput Units,Mean Latency,Min Latency,25th Percentile Latency,Median Latency,75th Percentile Latency,95th Percentile Latency,99th Percentile Latency,Max Latency,Mode Latency,Latency Units,NAME? Mean Power (W),NAME? Peak Power (W),Extension Info,Notes,
Test #1T (Throughput),1,4,1,1,0,0,SEQUENTIAL,READ,32,-16,22852.5,22852.5,22852.5,22852.5,22852.5,22852.5,22852.5,22852.5,22852.5,MB/s,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,N/A,,
Test #2T (Throughput),1,4,1,1,0,0,SEQUENTIAL,WRITE,32,-16,8419.9,8419.9,8419.9,8419.9,8419.9,8419.9,8419.9,8419.9,8419.9,MB/s,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,N/A,,
Test #1L (Latency),1,4,1,0,0,0,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,MB/s,1.37955,1.37955,1.37955,1.37955,1.37955,1.37955,1.37955,1.37955,1.37955,ns/access,0,0,N/A,,
Test #1T (Throughput),1,4,1,1,0,0,SEQUENTIAL,READ,32,16,20984.6,20984.6,20984.6,20984.6,20984.6,20984.6,20984.6,20984.6,20984.6,MB/s,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,N/A,,
Test #2T (Throughput),1,4,1,1,0,0,SEQUENTIAL,WRITE,32,16,11216.6,11216.6,11216.6,11216.6,11216.6,11216.6,11216.6,11216.6,11216.6,MB/s,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,N/A,,
Test #1L (Latency),1,4,1,0,0,0,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,MB/s,1.31018,1.31018,1.31018,1.31018,1.31018,1.31018,1.31018,1.31018,1.31018,ns/access,0,0,N/A,,
Test #1T (Throughput),1,4,1,1,0,0,SEQUENTIAL,READ,32,-16,23269.5,23269.5,23269.5,23269.5,23269.5,23269.5,23269.5,23269.5,23269.5,MB/s,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,N/A,,
Test #2T (Throughput),1,4,1,1,0,0,SEQUENTIAL,WRITE,32,-16,11860.9,11860.9,11860.9,11860.9,11860.9,11860.9,11860.9,11860.9,11860.9,MB/s,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,N/A,,
Test #1L (Latency),1,4,1,0,0,0,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,MB/s,1.31192,1.31192,1.31192,1.31192,1.31192,1.31192,1.31192,1.31192,1.31192,ns/access,0,0,N/A,,
Test #1T (Throughput),1,4,1,1,0,0,SEQUENTIAL,READ,32,16,18109.8,18109.8,18109.8,18109.8,18109.8,18109.8,18109.8,18109.8,18109.8,MB/s,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,N/A,,
Test #2T (Throughput),1,4,1,1,0,0,SEQUENTIAL,WRITE,32,16,11539.4,11539.4,11539.4,11539.4,11539.4,11539.4,11539.4,11539.4,11539.4,MB/s,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,N/A,,
Test #1L (Latency),1,4,1,0,0,0,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,MB/s,1.29629,1.29629,1.29629,1.29629,1.29629,1.29629,1.29629,1.29629,1.29629,ns/access,0,0,N/A,,
Test #1T (Throughput),1,4,1,1,0,0,SEQUENTIAL,READ,32,-16,25240.5,25240.5,25240.5,25240.5,25240.5,25240.5,25240.5,25240.5,25240.5,MB/s,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,N/A,,
Test #2T (Throughput),1,4,1,1,0,0,SEQUENTIAL,WRITE,32,-16,12653.9,12653.9,12653.9,12653.9,12653.9,12653.9,12653.9,12653.9,12653.9,MB/s,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,N/A,,
Test #1L (Latency),1,4,1,0,0,0,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,MB/s,1.20529,1.20529,1.20529,1.20529,1.20529,1.20529,1.20529,1.20529,1.20529,ns/access,0,0,N/A,,
Test #1T (Throughput),1,4,1,1,0,0,SEQUENTIAL,READ,32,16,23732.3,23732.3,23732.3,23732.3,23732.3,23732.3,23732.3,23732.3,23732.3,MB/s,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,N/A,,
Test #2T (Throughput),1,4,1,1,0,0,SEQUENTIAL,WRITE,32,16,12774.5,12774.5,12774.5,12774.5,12774.5,12774.5,12774.5,12774.5,12774.5,MB/s,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,N/A,,
Test #1L (Latency),1,4,1,0,0,0,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,MB/s,1.3238,1.3238,1.3238,1.3238,1.3238,1.3238,1.3238,1.3238,1.3238,ns/access,0,0,N/A,,
Test #1T (Throughput),1,4,1,1,0,0,SEQUENTIAL,READ,32,-1,21597.2,21597.2,21597.2,21597.2,21597.2,21597.2,21597.2,21597.2,21597.2,MB/s,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,N/A,,
Test #2T (Throughput),1,4,1,1,0,0,SEQUENTIAL,WRITE,32,-1,11361.8,11361.8,11361.8,11361.8,11361.8,11361.8,11361.8,11361.8,11361.8,MB/s,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,N/A,,
Test #1L (Latency),1,4,1,0,0,0,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,MB/s,1.31716,1.31716,1.31716,1.31716,1.31716,1.31716,1.31716,1.31716,1.31716,ns/access,0,0,N/A,,
Test #1T (Throughput),1,4,1,1,0,0,SEQUENTIAL,READ,32,1,21861.2,21861.2,21861.2,21861.2,21861.2,21861.2,21861.2,21861.2,21861.2,MB/s,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,N/A,,
Test #2T (Throughput),1,4,1,1,0,0,SEQUENTIAL,WRITE,32,1,10433.3,10433.3,10433.3,10433.3,10433.3,10433.3,10433.3,10433.3,10433.3,MB/s,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,N/A,,
Test #1L (Latency),1,4,1,0,0,0,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,MB/s,1.34158,1.34158,1.34158,1.34158,1.34158,1.34158,1.34158,1.34158,1.34158,ns/access,0,0,N/A,,
Test #1T (Throughput),1,4,1,1,0,0,SEQUENTIAL,READ,32,-1,23014.2,23014.2,23014.2,23014.2,23014.2,23014.2,23014.2,23014.2,23014.2,MB/s,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,N/A,,
Test #2T (Throughput),1,4,1,1,0,0,SEQUENTIAL,WRITE,32,-1,11834.4,11834.4,11834.4,11834.4,11834.4,11834.4,11834.4,11834.4,11834.4,MB/s,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,N/A,,
Test #1L (Latency),1,4,1,0,0,0,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,MB/s,1.27793,1.27793,1.27793,1.27793,1.27793,1.27793,1.27793,1.27793,1.27793,ns/access,0,0,N/A,,
Test #1T (Throughput),1,4,1,1,0,0,SEQUENTIAL,READ,32,1,22085.9,22085.9,22085.9,22085.9,22085.9,22085.9,22085.9,22085.9,22085.9,MB/s,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,N/A,,
Test #2T (Throughput),1,4,1,1,0,0,SEQUENTIAL,WRITE,32,1,10456.7,10456.7,10456.7,10456.7,10456.7,10456.7,10456.7,10456.7,10456.7,MB/s,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,N/A,,
